country,bjj_popularity
Finland,100
Australia,81
South Korea,76
Ireland,68
New Zealand,66
Sweden,60
United States,60
Canada,55
Singapore,54
Brazil,51
United Kingdom,49
Norway,48
Costa Rica,47
Poland,46
Croatia,35
Hong Kong,35
Greece,34
Serbia,31
United Arab Emirates,31
Kazakhstan,29
Switzerland,28
Belgium,26
Denmark,26
Philippines,25
Portugal,25
Netherlands,25
Czechia,23
Spain,23
Hungary,22
Chile,21
Russia,21
Argentina,20
Italy,20
Ecuador,20
Bulgaria,18
Germany,18
South Africa,18
Israel,17
Austria,16
Peru,15
Malaysia,14
France,12
Romania,12
Japan,12
Mexico,12
Ukraine,11
Taiwan,10
Pakistan,10
Indonesia,8
Colombia,6
Thailand,6
Turkey,6
Vietnam,5
India,3
