country,bjj,capoeira
Angola,0,100
Mozambique,0,93
Brazil,16,93
Finland,32,7
Australia,26,5
South Korea,25,0
Ireland,22,5
New Zealand,21,5
Israel,6,20
Sweden,19,7
United States,19,5
Canada,18,5
Singapore,17,7
Portugal,8,17
United Kingdom,16,5
Norway,15,5
Costa Rica,15,0
Poland,15,10
Bolivia,0,14
Ecuador,6,13
Switzerland,9,12
France,4,12
Czechia,7,12
Hungary,7,12
Croatia,11,0
Hong Kong,11,0
Greece,11,9
Peru,5,11
Colombia,2,10
Serbia,10,0
United Arab Emirates,10,0
Kazakhstan,9,0
Chile,7,9
Belgium,8,9
Slovakia,0,9
Mexico,4,9
Denmark,8,7
Philippines,8,5
Austria,5,8
Germany,6,8
Netherlands,8,7
Argentina,7,8
Spain,7,7
Italy,7,7
Russia,7,6
Ukraine,4,7
Venezuela,0,6
Bulgaria,6,0
Romania,4,6
Algeria,0,6
South Africa,6,4
Indonesia,2,5
Malaysia,5,4
Japan,4,4
Taiwan,3,2
Turkey,2,3
Pakistan,3,0
Thailand,2,1
India,1,2
Vietnam,2,0
