week,bjj,capoeira
2012-06-17,64,86
2012-06-24,67,84
2012-07-01,60,74
2012-07-08,69,76
2012-07-15,68,83
2012-07-22,68,78
2012-07-29,71,88
2012-08-05,70,87
2012-08-12,67,93
2012-08-19,67,93
2012-08-26,66,96
2012-09-02,68,94
2012-09-09,70,98
2012-09-16,67,97
2012-09-23,68,95
2012-09-30,69,88
2012-10-07,67,81
2012-10-14,81,88
2012-10-21,70,89
2012-10-28,63,86
2012-11-04,65,92
2012-11-11,66,95
2012-11-18,67,100
2012-11-25,63,94
2012-12-02,62,82
2012-12-09,65,74
2012-12-16,59,63
2012-12-23,56,63
2012-12-30,61,62
2013-01-06,70,68
2013-01-13,69,71
2013-01-20,69,69
2013-01-27,70,74
2013-02-03,61,74
2013-02-10,62,67
2013-02-17,65,72
2013-02-24,69,76
2013-03-03,69,89
2013-03-10,68,85
2013-03-17,71,86
2013-03-24,73,78
2013-03-31,65,79
2013-04-07,67,81
2013-04-14,68,81
2013-04-21,69,84
2013-04-28,64,81
2013-05-05,64,77
2013-05-12,64,80
2013-05-19,67,83
2013-05-26,66,82
2013-06-02,72,80
2013-06-09,69,83
2013-06-16,61,78
2013-06-23,63,76
2013-06-30,59,73
2013-07-07,65,73
2013-07-14,61,71
2013-07-21,63,68
2013-07-28,62,74
2013-08-04,66,78
2013-08-11,63,75
2013-08-18,69,82
2013-08-25,65,85
2013-09-01,69,87
2013-09-08,64,85
2013-09-15,66,86
2013-09-22,62,85
2013-09-29,64,84
2013-10-06,67,78
2013-10-13,67,80
2013-10-20,66,79
2013-10-27,62,77
2013-11-03,68,88
2013-11-10,66,86
2013-11-17,67,92
2013-11-24,62,80
2013-12-01,66,70
2013-12-08,63,70
2013-12-15,60,65
2013-12-22,59,55
2013-12-29,63,56
2014-01-05,68,64
2014-01-12,67,61
2014-01-19,68,63
2014-01-26,70,64
2014-02-02,72,68
2014-02-09,68,67
2014-02-16,68,69
2014-02-23,68,70
2014-03-02,65,63
2014-03-09,68,72
2014-03-16,69,75
2014-03-23,67,75
2014-03-30,74,74
2014-04-06,72,72
2014-04-13,76,70
2014-04-20,70,67
2014-04-27,70,68
2014-05-04,67,71
2014-05-11,66,73
2014-05-18,68,76
2014-05-25,67,80
2014-06-01,73,77
2014-06-08,65,83
2014-06-15,63,73
2014-06-22,64,70
2014-06-29,65,70
2014-07-06,66,66
2014-07-13,63,62
2014-07-20,66,67
2014-07-27,66,66
2014-08-03,66,75
2014-08-10,69,69
2014-08-17,65,76
2014-08-24,66,76
2014-08-31,65,78
2014-09-07,66,78
2014-09-14,64,78
2014-09-21,62,76
2014-09-28,63,76
2014-10-05,67,71
2014-10-12,62,68
2014-10-19,66,73
2014-10-26,63,70
2014-11-02,64,74
2014-11-09,68,79
2014-11-16,70,83
2014-11-23,62,86
2014-11-30,62,71
2014-12-07,65,65
2014-12-14,62,62
2014-12-21,55,50
2014-12-28,57,50
2015-01-04,64,55
2015-01-11,69,61
2015-01-18,67,57
2015-01-25,68,60
2015-02-01,67,58
2015-02-08,64,60
2015-02-15,66,58
2015-02-22,68,63
2015-03-01,72,70
2015-03-08,70,68
2015-03-15,68,66
2015-03-22,72,66
2015-03-29,67,63
2015-04-05,69,66
2015-04-12,67,61
2015-04-19,73,61
2015-04-26,66,62
2015-05-03,66,62
2015-05-10,64,62
2015-05-17,69,64
2015-05-24,67,68
2015-05-31,72,68
2015-06-07,65,70
2015-06-14,64,68
2015-06-21,64,63
2015-06-28,66,58
2015-07-05,62,60
2015-07-12,71,58
2015-07-19,67,59
2015-07-26,65,57
2015-08-02,71,64
2015-08-09,72,61
2015-08-16,76,70
2015-08-23,71,73
2015-08-30,76,78
2015-09-06,72,72
2015-09-13,75,72
2015-09-20,71,69
2015-09-27,71,67
2015-10-04,72,70
2015-10-11,68,63
2015-10-18,73,69
2015-10-25,67,71
2015-11-01,70,73
2015-11-08,71,80
2015-11-15,72,85
2015-11-22,64,82
2015-11-29,66,70
2015-12-06,69,64
2015-12-13,74,61
2015-12-20,67,51
2015-12-27,65,48
2016-01-03,71,51
2016-01-10,71,57
2016-01-17,72,55
2016-01-24,74,52
2016-01-31,68,53
2016-02-07,66,49
2016-02-14,71,52
2016-02-21,71,60
2016-02-28,69,63
2016-03-06,86,63
2016-03-13,78,64
2016-03-20,76,59
2016-03-27,76,60
2016-04-03,80,61
2016-04-10,77,60
2016-04-17,77,58
2016-04-24,75,65
2016-05-01,72,61
2016-05-08,74,57
2016-05-15,77,62
2016-05-22,74,61
2016-05-29,76,60
2016-06-05,75,62
2016-06-12,72,57
2016-06-19,70,54
2016-06-26,71,52
2016-07-03,69,51
2016-07-10,71,49
2016-07-17,72,51
2016-07-24,75,49
2016-07-31,77,63
2016-08-07,80,57
2016-08-14,74,58
2016-08-21,78,59
2016-08-28,81,59
2016-09-04,79,64
2016-09-11,79,61
2016-09-18,75,60
2016-09-25,76,57
2016-10-02,74,54
2016-10-09,74,52
2016-10-16,70,56
2016-10-23,76,58
2016-10-30,78,56
2016-11-06,71,58
2016-11-13,73,65
2016-11-20,74,66
2016-11-27,76,57
2016-12-04,77,50
2016-12-11,74,50
2016-12-18,69,40
2016-12-25,68,38
2017-01-01,76,41
2017-01-08,76,46
2017-01-15,84,46
2017-01-22,77,44
2017-01-29,77,49
2017-02-05,76,47
2017-02-12,77,50
2017-02-19,74,52
2017-02-26,78,47
2017-03-05,77,51
2017-03-12,75,55
2017-03-19,79,55
2017-03-26,75,53
2017-04-02,74,52
2017-04-09,79,48
2017-04-16,80,46
2017-04-23,72,51
2017-04-30,79,50
2017-05-07,78,50
2017-05-14,77,53
2017-05-21,77,54
2017-05-28,75,53
